sample_id,subject_id,subject_group,webcam_video_path,wearcam_video_path,audio_path,start_code,end_code,start_seconds,end_seconds,duration_seconds,cheat_type_id,cheat_type_name,reference_usage,notes
subject1_011,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0519,0521,319,321,2,5,type_5,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_012,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0522,0524,322,324,2,5,type_5,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_013,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0525,0530,325,330,5,5,type_5,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_014,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0531,0532,331,332,1,5,type_5,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_015,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0535,0536,335,336,1,5,type_5,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_016,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0544,0547,344,347,3,5,type_5,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_017,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0607,0649,367,409,42,1,type_1,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_018,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,1245,1257,765,777,12,1,type_1,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_019,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,1316,1339,796,819,23,6,type_6,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_020,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0324,0350,204,230,26,3,type_3,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_021,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0930,1013,570,613,43,3,type_3,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_022,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,1024,1054,624,654,30,3,type_3,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_001,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0015,0018,15,18,3,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_002,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0021,0022,21,22,1,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_003,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0024,0026,24,26,2,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_004,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0030,0038,30,38,8,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_005,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0314,0430,194,270,76,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_006,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0548,0626,348,386,38,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_007,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0646,0652,406,412,6,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_008,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0655,0702,415,422,7,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_009,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0939,0944,579,584,5,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_010,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0945,0954,585,594,9,1,type_1,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_011,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,0955,1017,595,617,22,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_012,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,1032,1042,632,642,10,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_013,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,1727,1840,1047,1120,73,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_014,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,1841,1941,1121,1181,60,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_015,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,1943,1951,1183,1191,8,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_016,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,1953,2024,1193,1224,31,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_017,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2027,2028,1227,1228,1,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_018,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2030,2050,1230,1250,20,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_019,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2051,2119,1251,1279,28,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_020,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2238,2252,1358,1372,14,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_021,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2257,2303,1377,1383,6,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_022,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2311,2316,1391,1396,5,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_023,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2319,2324,1399,1404,5,1,type_1,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_024,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2325,2329,1405,1409,4,1,type_1,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_025,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2317,2335,1397,1415,18,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_026,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2353,2355,1433,1435,2,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_027,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2401,2410,1441,1450,9,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_028,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2414,2437,1454,1477,23,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_029,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2440,2454,1480,1494,14,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_030,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2457,2504,1497,1504,7,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject10_031,subject10,real_exam_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi21.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi22.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject10\huangpi2.wav,2512,2537,1512,1537,25,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
